id,volume.filtered.mL
stn4-d1-GF-B,4520
stn4-d1-GF-C,7770
stn4-d2-GF-B,10430
stn4-d2-GF-C,8765
stn5-d1-GF-B,8260
stn5-d1-GF-C,3755
stn5-d5-GF-B,18367
stn5-d5-GF-C,15927
stn8-d1-GF-B,2380
stn8-d1-GF-C,5480
stn8-d5-GF-B,7220
stn8-d5-GF-C,8370
