"","live1","live2","live3","mean","sd","stn","depthid","substrate"
"stn1-d1-bulk-p3",3.01357754776053,2.03425326038647,1.64076177097147,2.22953085970616,0.706934080977343,"stn1","d1","p3"
"stn1-d1-bulk-p4",0.00267459487157141,0.00416029577434512,0.0061801318436651,0.00433834082986054,0.00175953755203578,"stn1","d1","p4"
"stn1-d2-bulk-a",0.43131238226321,0.397268029393516,0.0364680152723684,0.288349475643031,0.218798896362441,"stn1","d5","a"
"stn1-d2-bulk-b",0.349007358569192,0.290707986535993,0.354948088892225,0.331554477999137,0.0354985910682278,"stn1","d5","b"
"stn1-d2-bulk-L",0.00230938509912788,0.00258551010065698,0.00153539104604199,0.00214342874860895,0.000544374540114196,"stn1","d5","L"
"stn1-d2-bulk-p1",6.8461102369682,5.89409336696347,6.22237863644013,6.3208607467906,0.483588745462209,"stn1","d5","p1"
"stn1-d2-bulk-p2",0.00932660328225277,0.003827068127492,0.00336276842954392,0.00550547994642956,0.00331732289852197,"stn1","d5","p2"
"stn1-d2-bulk-p3",5.16537147911912,4.32052058333656,3.30688783322764,4.26425996522777,0.930518300934487,"stn1","d5","p3"
"stn1-d2-bulk-p4",0.00671079200794521,0.00570126343715097,0.00558084345634581,0.00599763296714733,0.000620541784288612,"stn1","d5","p4"
"stn2-d1-bulk-a",0.143782288862872,0.112298568948366,0.146990373345761,0.134357077052333,0.0191704534725169,"stn2","d1","a"
"stn2-d1-bulk-b",0.236225804702067,0.239763618000078,0.317847988811485,0.264612470504543,0.0461372337466108,"stn2","d1","b"
"stn2-d1-bulk-L",0.00499554392249862,0.0352334998822969,0.00263849398918181,0.0142891792646591,0.0181765603373643,"stn2","d1","L"
"stn2-d1-bulk-p1",4.86368533453172,3.47650363331316,2.97606428532523,3.77208441772337,0.977908127809699,"stn2","d1","p1"
"stn2-d1-bulk-p2",0.00140377568068267,0.00385094910382783,0.000962171247874364,0.00207229867746162,0.00155610141802471,"stn2","d1","p2"
"stn2-d1-bulk-p3",2.74416321427075,1.33106735769579,1.40321678923682,1.82614912040112,0.795841562451589,"stn2","d1","p3"
"stn2-d1-bulk-p4",0.00578056488627307,0.00575448715060576,0.00810148341933806,0.00654551181873897,0.00134757401595518,"stn2","d1","p4"
"stn2-d2-bulk-a",0.0746174725587414,0.128924420214402,0.0570537031892836,0.0868651986541425,0.0374680542236604,"stn2","d5","a"
"stn2-d2-bulk-b",0.209745565052287,0.132032026672424,0.109934563832399,0.150570718519037,0.0524244343094598,"stn2","d5","b"
"stn2-d2-bulk-L",0.00222927519135383,0.00613833479292528,0.00414620825944908,0.0041712727479094,0.00195465033026263,"stn2","d5","L"
"stn2-d2-bulk-p1",3.54069684879288,4.14479674152866,3.63619893672098,3.77389750901417,0.324738114038886,"stn2","d5","p1"
"stn2-d2-bulk-p2",0.00498519393243482,0.00118743510748339,0.00155597160289593,0.00257620021427138,0.00209437170476635,"stn2","d5","p2"
"stn2-d2-bulk-p3",3.98413275603543,1.68844903993453,0.93584292400876,2.2028082399929,1.58790483500203,"stn2","d5","p3"
"stn2-d2-bulk-p4",0.00269904571274222,0.00160711634915019,0.00222672336536674,0.00217762847575305,0.000547617717854582,"stn2","d5","p4"
