"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn5-d2-bulk-fuc-t1",1.08,1.87,"5","d2","5.d2","bulk","fuc","t1"
"stn5-d2-bulk-lam-t2",11.38,1.91,"5","d2","5.d2","bulk","lam","t2"
"stn5-d2-bulk-pul-t2",2.88,4.06,"5","d2","5.d2","bulk","pul","t2"
"stn5-d2-bulk-xyl-t1",0.93,1.26,"5","d2","5.d2","bulk","xyl","t1"
"stn5-d3-bulk-ara-t1",1.69,1.78,"5","d3","5.d3","bulk","ara","t1"
"stn5-d3-bulk-chon-t2",17.22,1.06,"5","d3","5.d3","bulk","chon","t2"
"stn5-d3-bulk-fuc-t2",1.41,2.45,"5","d3","5.d3","bulk","fuc","t2"
"stn5-d3-bulk-lam-t2",9.2,1.9,"5","d3","5.d3","bulk","lam","t2"
"stn5-d3-bulk-pul-t1",6.63,5.09,"5","d3","5.d3","bulk","pul","t1"
"stn5-d3-bulk-xyl-t5",2.89,0.14,"5","d3","5.d3","bulk","xyl","t5"
"stn5-d4-bulk-ara-t1",1.77,1.8,"5","d4","5.d4","bulk","ara","t1"
"stn5-d4-bulk-chon-t3",9.23,0.12,"5","d4","5.d4","bulk","chon","t3"
"stn5-d4-bulk-fuc-t0",0,0,"5","d4","5.d4","bulk","fuc","t0"
"stn5-d4-bulk-lam-t3",7.52,0.58,"5","d4","5.d4","bulk","lam","t3"
"stn5-d4-bulk-pul-t1",4.46,6.24,"5","d4","5.d4","bulk","pul","t1"
"stn5-d4-bulk-xyl-t4",3.47,0.03,"5","d4","5.d4","bulk","xyl","t4"
"stn5-d5-bulk-ara-t1",3.04,5.26,"5","d5","5.d5","bulk","ara","t1"
"stn5-d5-bulk-chon-t3",8.46,0.09,"5","d5","5.d5","bulk","chon","t3"
"stn5-d5-bulk-fuc-t1",4.01,3.99,"5","d5","5.d5","bulk","fuc","t1"
"stn5-d5-bulk-lam-t3",4.19,1.01,"5","d5","5.d5","bulk","lam","t3"
"stn5-d5-bulk-pul-t2",2.38,3.61,"5","d5","5.d5","bulk","pul","t2"
"stn5-d5-bulk-xyl-t4",4.75,0.09,"5","d5","5.d5","bulk","xyl","t4"
"stn6-d1-bulk-ara-t2",0.47,0.43,"6","d1","6.d1","bulk","ara","t2"
"stn6-d1-bulk-chon-t2",14.9,1.35,"6","d1","6.d1","bulk","chon","t2"
"stn6-d1-bulk-fuc-t1",6.07,4.97,"6","d1","6.d1","bulk","fuc","t1"
